厂商,数量
桃太郎映像出版$$$若桃,366
MARX$$$MARX Brothers co.,362
DANDY$$$DANDY（ソフトオンデマンド）,357
はじめ企画$$$はじめ企画,356
First Star$$$First Star,355
信州書店$$$信州書店,355
オペラ$$$OPERA,351
F＆A$$$F＆A,349
ドリームステージ$$$熟女絵巻,349
ミニマム$$$ミニマム,348
メスイキ$$$メスイキ,345
モデスト$$$鉄板,340
ビッグモーカル$$$新戦組,337
ブイワンVR$$$ブイワンVR SEX,335
OFFICE K’S$$$OFFICE K’S,334
熟女はつらいよ/熟女卍$$$熟女はつらいよ,333
エロタイム$$$エロタイム,333
ビッグモーカル$$$BIGMORKAL,331
SOSORU×GARCON$$$SOSORU×GARCON,331
ホットエンターテイメント$$$ホットエンターテイメント,330
ホットエンターテイメント$$$おばCh,330
小林興業$$$小林,328
アウダースジャパン$$$AUDAZ,327
ムーディーズ$$$MOODYZ Gati,321
JET映像$$$JET映像,320
ABC/妄想族$$$お母さん.com/ABC,319
プレステージ$$$DOC PREMIUM,319
プレステージ$$$ONEZ,317
アパッチ$$$HHHグループ,317
GIRL’S CH$$$GIRL’S CH,316
痴女ヘブン$$$痴女ヘブン,316
桃太郎映像出版$$$ALL IN☆ ONE,315
プレステージ$$$MBM,313
チキチキカマー/妄想族,311
KUKI$$$KUKI,311
赤面女子$$$赤面女子,309
レッド$$$POST（レッド）,307
ピーターズ$$$ナンパーズ,302
BAZOOKA$$$BAZOOKA（バズーカ）,300
カルマ$$$ドキュメント,298
INTEC Inc,294
アタッカーズ$$$in mad,292
乱丸$$$乱丸,291
スパイスビジュアル$$$スパイスビジュアル,291
グレイズ$$$ロリ専科,288
ルビー$$$旅路,286
ピーターズ$$$ピーターズ,284
クリスタル映像$$$MADAM MANIAC,284
フリーダム$$$フリーダム,283
KUKI$$$TANK,282
ヴィ$$$V,280
ホットエンターテイメント$$$人妻（ホットエンターテイメント）,278
アテナレジェンド$$$アテナレジェンド,277
えむっ娘ラボ$$$えむっ娘ラボ,275
プレミアム$$$PREMIUM BEST,272
山と空/妄想族,271
SODクリエイト$$$本物人妻（旦那に内緒でAV体験）,269
AROUND$$$AROUND,269
黒羊$$$黒羊,267
INTEC Inc$$$INTEC Inc,264
Yellow Moon（イエロームーン）$$$Yellow Moon（イエロームーン）,263
アリーナエンターテインメント$$$Arena X,262
ジャネス$$$MANIA痴女,261
JET映像$$$卍GROUP,258
シネマユニット・ガス$$$GAS,256
SPYEYE$$$SPYEYE,255
大塚フロッピー$$$大塚フロッピー,254
パコパコ団とゆかいな仲間たち/妄想族$$$パコパコ団とゆかいな仲間たち/妄想族,254
ルビー$$$greed,252
BabyEntertainment$$$Baby Entertainment,252
思春期.com$$$思春期.com,251
セレブの友$$$セレブの友（お得セット）,250
TEPPAN VR$$$TEPPAN VR,250
僕たち男の娘$$$僕たち男の娘,249
熟女LABO$$$熟女LABO,249
婦人社/エマニエル$$$婦人社,246
MAX-Aレジェンド$$$Calen,244
グレイズ$$$S-CRIME,244
EROTICA$$$EROTICA,244
ディープス$$$ザ・マジックミラー（MM号・MM便）,244
かぐや姫Pt/妄想族$$$かぐや姫Pt,243
タカラ映像$$$第一放送,243
アパッチ$$$アパッチ（デマンド）,242
ハメドリネットワークSecondEdition$$$ハメドリネットワークSecondEdition,241
クィーンロード$$$クィーンロード,240
kawaii$$$kawaii* VR,240
KMPVR-彩-$$$KMPVR-彩-,238
DANDY,238
バルタン$$$BALTAN,237
熟女塾/エマニエル$$$熟女塾,237
メディアバンク$$$H2PROJECT,236
TEPPAN$$$TEPPAN SPECIAL,234
Mellow Moon（メロウムーン）$$$Yellow Moon（イエロームーン）,234
MERCURY（マーキュリー）$$$初代渋谷特別特攻本部,233
熟女画報社$$$熟女画報社,231
ワンズファクトリー$$$WANZ VR,231
レイディックス$$$neo（パラドックス）,230
CASANOVA$$$カトリーヌ（CASANOVA）,230
マックスエー$$$MAX-A,229
TEPPAN$$$TEPPAN,228
美人魔女/エマニエル$$$美人魔女,228
プラネットプラス$$$裸婦趣向,228
SILK LABO$$$COCOON,228
ジャネス$$$MANIA Play,226
グラフィティジャパン$$$フェアエスト,225
CASANOVA$$$ミッシェル,225
ヒビノ$$$HIBINO,225
タカラ映像$$$TAKARA,223
PileDriverZ$$$PileDriverZ,223
CRYSTAL VR$$$CRYSTAL VR,223
レイディックス$$$neo（レイディックス）,223
ジャネス$$$艶女,222
BabyEntertainment$$$BLACK BABY,222
STAR PARADISE$$$夜王族,222
MAX-Aレジェンド$$$サマンサ,221
センタービレッジ$$$是空（センタービレッジ）,220
MARRION$$$IRIS,218
オルスタックソフト$$$オルスタックソフト,216
kira☆kira$$$kira☆kira,215
お夜食カンパニー$$$HHHグループ,215
アリーナエンターテインメント$$$Arena,213
SODクリエイト$$$青春時代,213
夫人百花/エマニエル$$$100円ポッキリ,212
グレイズ$$$BURST（グレイズ）,211
センタービレッジ$$$楽園（センタービレッジ）,211
Mr.michiru$$$Mr.michiru,210
エスワン ナンバーワンスタイル$$$S1 VR,209
青空ソフト$$$青空ソフト,209
豊彦$$$豊彦企画,207
STAR PARADISE$$$おふくろ鉄道,207
五十路ん$$$五十路ん,207
TRANS CLUB$$$TRANS CLUB,207
KSB企画/エマニエル$$$KSB企画/エマニエル,207
プレステージ$$$KANBi,206
プレステージ$$$貸,206
親父の個撮$$$親父の個撮,204
ハイカラ/妄想族$$$ハイカラ/妄想族,201
ムーディーズ$$$MOODYZ VR,200
キチックス/妄想族$$$キチックス/妄想族,198
ワンダフル（ONE DA FULL）$$$ONE DA FULL,197
ステージメディア$$$Carnival（ステージメディア）,195
GALLOP$$$GIFT,195
ムーディーズ$$$MOODYZ Fresh,195
キャンディ$$$キャンディ,195
プラネットプラス$$$アンビバレンツ,194
カルマ$$$卍GROUP,194
S.P.C$$$asfur,194
シックスナイン$$$シックスナイン,192
VENUS$$$ヴィーナス（VENUS）,191
プレステージ$$$REAL DOCUMENT,189
小林興業$$$母屋（小林興業）,189
ブロッコリー/妄想族$$$ブロッコリー,188
V＆R PRODUCE,188
プレステージ$$$ABSOLUTE,185
学園舎$$$学園舎外伝,185
unfinished$$$Marrion Group VR,185
マザー$$$マザー,184
OFFICE K’S$$$mow,184
宇宙企画$$$宇宙企画,184
即ヌキ$$$即ヌキ,184
山と空/妄想族$$$山と空,184
ナチュラルハイ$$$ナチュラルハイVR,183
マザー$$$ムチムッチ,183
プレステージ$$$連れ込み,182
F-FACTORY/妄想族$$$IMAGINATION,182
プレミアム熟女/エマニエル$$$プレミアム熟女/エマニエル,182
ワープエンタテインメント$$$COBRA（ワープ）,181
ピーターズMAX$$$ピーターズMAX Jr.,181
BAGUS$$$BAGUS,181
Hunter$$$Hunter（HHHグループ）,180
ルビー$$$NOBLE,179
ビッグモーカル$$$ハッスル,179
アイデアポケット$$$IP-VR,179
メガサイクロン$$$メガサイクロン,179
ルビー$$$熟年,178
VENUS$$$熟人PROJECT,178
シネマジック$$$collect,178
つちのこ映像$$$つちのこ映像,178
OFFICE K’S$$$K’S BEST,177
ジャネス$$$Fetish パンスト,176
ワープエンタテインメント$$$WAAPグループ VR,175
ATOM$$$ATOM,175
プレステージ$$$MEGATRA,175
GALLOP$$$NEO GIFT,174
ミル$$$ミル,174
アイエナジー$$$IENF,173
チェリーズれぼ/妄想族$$$チェリーズれぼ,172
E-BODY$$$花ざかりの妻たち,171
タカラ映像$$$タカラビジュアル,170
VENUS$$$ULTIMA,170
CASANOVA$$$ピエール,170
STAR PARADISE$$$MEGADON,169
LUNATICS$$$ルナティックス,168
アートビデオSM/妄想族$$$アートビデオSM/妄想族,167
NON,167
ラハイナ東海$$$DANGEROUS ZONE,167
Aircontrol,166
セレブの友,164
Hunter$$$HHH-VR（HHHグループ）,163
ナチュラルハイ$$$ナチュ厳選娘,163
ゴールデンタイム$$$HHHグループ,163
ラハイナ東海$$$極ヌキ,163
綜実社/妄想族$$$綜実社/妄想族,162
GARCON$$$GARCON,160
KUKI$$$VINL,160
ゲインコーポレーション$$$gain corporation,160
アロマ企画$$$妄想チラリズム,159
香澄企画/エマニエル$$$香澄企画（エマニエル）,159
TMA$$$TMAVR,159
V＆Rプロダクツ$$$V＆Rプロダクツ,159
ブイワンVR$$$ブイワンVR,159
AVS collector’s$$$AVS,158
ゴールデンタイム$$$ゴールデンタイム,158
ジャネス$$$MAZO BOYS CLUB,158
カルマ$$$BEST,157
SEX MACHINE$$$SEX MACHINE,157
プレステージ$$$ULTRA,157
STAR PARADISE$$$夫婦,157
プレステージ$$$雪月花,157
アリスJAPAN$$$アリスJAPAN VR,157
NEXT GROUP$$$ネクストグループ,155
ワープエンタテインメント$$$W*,154
V＆R PRODUCE$$$3D V＆R VR,154
CREAM PIE$$$クリームパイ,154
レッド$$$卍GROUP,153
胸キュン喫茶$$$胸キュン喫茶,153
バミューダ/妄想族$$$バミューダ/妄想族,153
ムラっch$$$ムラっch,152
青春舎$$$青春舎,151
ドリームチケット,151
痴女ヘブン$$$美,150
プレステージ$$$よろず本舗,150
映天$$$ヤブサメ（映天）,150
未満$$$未満,150
スパイスビジュアル$$$MARE,150
グレイズ$$$sister,149
AV$$$恋する花嫁DX（AV）,148
コロナ社$$$CORONA SPECIAL,147
レイディックス$$$抜群,147
P-PROJECT/妄想族$$$LEGEND（P-PROJECT/妄想族）,147
プレステージ$$$ゲッツ！！,146
スパイスビジュアル$$$BLUE RIBON,145
ミセスの素顔/エマニエル$$$ミセスの素顔,145
濡壺/妄想族$$$濡壺/妄想族,145
アパッチ$$$アパッチ（HHHグループ）,145
TMクリエイト$$$パパイヤ,144
ジャネス$$$ladies,144
サディスティックヴィレッジ,144
BabyEntertainment$$$RED BABE,144
ドリームステージ$$$ドリームステージ,143
SHEMALE a la carte$$$SHEMALE a la carte,143
アタッカーズ$$$Attackers BEST,143
キチックス/妄想族$$$巨乳,143
Pile Driver$$$Pile Driver,143
人妻援護会/エマニエル$$$人妻援護会/エマニエル,142
イチキュッパー$$$イチキュッパー,142
1113工房/妄想族$$$1113工房/妄想族,142
マドンナ$$$MadonnaVR,142
ルビー$$$EDEN（ルビー）,142
マザー$$$マザー（マザー）,141
ビッグモーカル$$$ビッグモーカル,141
ケイ・エム・プロデュース$$$宇宙企画VR,141
TMA$$$Hi-TMA,141
OFFICE K’S$$$JKS,141
ケイ・エム・プロデュース$$$100人,140
シネマジック$$$NOIR,140
4K VR$$$4KVR,140
AVVR$$$AVVR,139
レッド$$$奥さん,138
マックスエー$$$MAX-AVR,137
レッド$$$レッド,136
プレステージ$$$treasure,136
痴ロモン/妄想族$$$痴ロモン/妄想族,135
MILK$$$MILK,135
ディレクターズ$$$ニャンニャンハウス,135
豊彦$$$靖云会,134
プリモ$$$エロナンデス,133
STAR PARADISE$$$バイキング,133
ジェントルマン/妄想族$$$ジェントルマン（ジェントルマン/妄想族）,133
プレステージ$$$だましや,133
映天$$$部活動,133
TMクリエイト$$$Mango,131
HMJM$$$Glamour,131
シャイ企画$$$SHY,130
NEXT GROUP$$$イマージュ,130
STAR PARADISE$$$SCANDAL（STAR PARADISE）,129
光夜蝶,129
アクアモール/エマニエル$$$アクアモール,129
ズッコン/バッコン$$$ズッコン/バッコン,128
STAR PARADISE$$$黙天,128
シネマジック$$$VIXEN,127
AV$$$バイトちゃんPremiere,127
h.m.p DORAMA$$$h.m.p DORAMA,127
ビッグモーカル$$$頂 itadaki,127
ソルト・ペッパー$$$ing,126
ナンパHEAVEN$$$ナンパHEAVEN,126
コスモス映像$$$コスモス映像（ソフトオンデマンド）,126
大久保ヤンキース$$$CAT’S EYE,126
ピーターズMAX$$$ピーターズMAX,125
おペニペニワールド/妄想族$$$おペニペニワールド/妄想族,124
三和出版$$$アブノーマルカンパニーズ,123
熟の蔵/エマニエル$$$熟の蔵,122
レッド$$$レッド突撃隊DX,122
ルビー$$$Secret（ルビー）,122
TMクリエイト$$$チェリー,122
アタッカーズ$$$蛇縛,122
GENEKI$$$GENEKI,121
ABC/妄想族$$$お母さん.com（ABC/妄想族）,121
HMJM$$$pornograph.tv,120
ジャネス$$$クイーンダム,120
タカラ映像$$$GUSUKU,120
サルトル映像出版$$$BASEMENT9,120
クロス$$$CROSS,120
虎堂$$$DiVA’s,120
JUMP$$$下品屋（JUMP）,119
アロマ企画$$$AROMA G-18,119
ワープエンタテインメント$$$Washing machine,118
FAプロ$$$FAプロ 竜二,118
いきなりエロざんまい$$$いきなりエロざんまい,118
コスモス映像$$$COSMOSPICTURES（ソフト・オン・デマンド）,117
プレステージ$$$口説き術,117
ルーナ旬香舎$$$ルーナ旬香舎,117
レッド$$$TASH,116
メディアバンク$$$HHH,116
サディヴィレナウ！,115
GALLOP$$$GO AHEAD,115
プレステージ$$$zetton/ゼットン,115
ビッグモーカル$$$EIKI,115
STAR PARADISE$$$ジャッカル,114
プレステージ$$$DOC MAX,114
G-HISTORY$$$G-HISTORY,114
ブリット$$$羞恥,114
ロイヤル$$$HHHグループ,113
実録出版$$$実録出版,113
エンペラー/妄想族$$$エンペラー（エンペラー/妄想族）,113
プレステージ$$$しろうとまんまん,113
サディスティックヴィレッジ$$$犯し屋（サディスティックヴィレッジ）,113
テクノブレイク$$$テクノブレイク,112
みるきぃぷりん♪$$$みるきぃぷりん,112
グレイズ$$$帝都裏映像,112
ティーチャー/妄想族,111
赤ほたるいか/妄想族$$$赤ほたるいか/妄想族,111
ABC/妄想族$$$パツキン/ABC,111
（有）群雄社$$$アスカ,111
プレステージ$$$ドキュメントなう。,110
タカラ映像$$$寝盗会,110
幻奇$$$KUBISHIME,110
WEEKENDER$$$WEEKENDER,109
プレステージ$$$PRESTIGE PREMIUM TREASURE,109
ヒプノシスラボ/妄想族$$$ヒプノシス,108
キネマ座$$$キネマ座,108
かつお物産/妄想族$$$かつお物産/妄想族,108
禁断の果実/妄想族$$$禁断の果実/妄想族,108
ゴーゴーズ$$$CORE（ゴーゴーズ）,107
シネマジック$$$Cinemagic Memorial,107
田町ナンパ天国$$$AMATEUR BOX,107
ムーディーズ$$$MOODYZ REAL,107
DIY$$$DIY,107
ラハイナ東海$$$BBA,107
レズれ！$$$レズれ！プレイ,107
しろうと派遣.com,106
MERCURY（マーキュリー）$$$juice（マーキュリー）,106
CASANOVA$$$ベルモンタ,105
センタービレッジ$$$あじさい,105
キチックス/妄想族$$$炉利,105
ラハイナ東海$$$and,105
バルタン$$$hoppin’,105
痴女ヘブン$$$痴女ヘブンBEST,104
モブスターズ$$$MOB,104
ブリット$$$悪戯,104
映天$$$我欲GA-YOKU,104
new girl$$$new girl,104
ながえスタイル$$$ながえSTYLE Short story,103
ドグマ$$$ゴールドTOHJIROレーベル,103
ビッグモーカル$$$Marc Dorcel（BIGMORKAL）,103
キチックス/妄想族$$$キチックス・プラス,102
VIP$$$TRIPLE H,102
ロイヤルアート$$$Stella,102
MARX$$$MARX,102
クリスタル映像$$$MANIAC（クリスタル）,102
変態紳士倶楽部$$$変態紳士倶楽部 VR,102
CORE$$$CORE,101
STAR PARADISE$$$REBORN,101
虎堂$$$スノヒト,101
アウダースジャパン$$$PLUS,101
ATOM$$$HHHグループ,100
プレステージ$$$temptation,100
プレステージ$$$タブレット,100
ムーディーズ$$$まんきつ,100
ロイヤルアート$$$BIC MAN,100
玉屋レーベル$$$玉屋レーベル,100
人妻花園劇場$$$image（人妻花園劇場）,100
センタービレッジ$$$紅雪,99
プレステージ$$$ACE KILLER,99
プレステージ$$$FIVE STARS,99
プレステージ$$$Realdocument Plus,99
ゴーゴーズブラック/妄想族$$$ゴーゴーズ妻,99
BabyEntertainment$$$ベイビーエンターテイメント,99
ユープランニング$$$ユープランニング,99
下半身タイガース/妄想族$$$下半身タイガース/妄想族,99
Mr.michiru,98
STAR PARADISE$$$GOHATTO,97
MEGAMI$$$美女神 Queen,97
小林興業$$$東日本人妻愛好会,97
MAD$$$マッド（月）,97
OFFICE K’S$$$すきま（ERECT）,96
ドグマ$$$俺のおばさん,96
ワープエンタテインメント$$$S＋,96
グラビジョン,96
JUMP$$$jump-av,95
アップソン$$$アップソン,95
JAMS$$$新肉感地帯,95
ドグマ$$$ドグマ,95
暗闇/妄想族$$$暗闇/妄想族,95
サルトル映像出版$$$RAMPO（AFRO-FILM）,95
熟撮/妄想族$$$熟撮/妄想族,95
Dirty Factory$$$Dirty Factory,95
これぞ！素人$$$これぞ！素人,94
First Star,94
アップス$$$UP’S,94
ド熟女キングダム！！$$$ド熟女キングダム！！,94
SODクリエイト$$$君に惚れた！,94
DAHLIA$$$DAHLIA,94
FALENO TUBE$$$FALENO TUBE,94
親父の個撮$$$神スク水,94
Z-MEN$$$Z-MEN,94
名作ポルノ$$$名作ポルノ,93
親父の個撮$$$神ブルマ,93
apple Club$$$罪と罰,93
Japanboyz$$$Japanboyz,93
MAD$$$マッド（霧）,93
桃太郎映像出版$$$LADY HUNTERS,93
ワープエンタテインメント$$$So,92
グローバルメディアエンタテインメント$$$NewMOM,92
プレステージ$$$釣師,92
ま○こ銀行$$$ま○こ銀行,91
ルビー$$$楊貴妃,91
黒羊/妄想族$$$黒羊/妄想族,91
MAD$$$零,91
ロイヤルアート$$$TOKYOパリス,91
アトラス21$$$アトラス21,90
NEXT GROUP$$$アレックス,90
AFRO-FILM$$$かぐや姫（AFRO-FILM）,90
ワープエンタテインメント$$$WAAP VR,90
映天$$$心眼SHIN-GAN,89
アタッカーズ$$$アタッカーズ アンソロジー,89
メディアマーケット$$$メディアマーケット,88
STAR PARADISE$$$パラダイス,88
teamZERO$$$teamZERO,88
h.m.p$$$Tiffany,88
お夜食カンパニー$$$HHH-VR（HHHグループ）,87
ホットエンターテイメント$$$ティッシュ ザ フェティッシュ,87
プレステージ$$$discover,87
D☆Collection$$$D☆Collection,87
大洋図書$$$ライトハウス,87
極盗/妄想族$$$極盗/妄想族,87
キチックス/妄想族$$$新人,87
姦乱者$$$姦乱者,87
ジュエル$$$ジュエル,87
ドラマ「人妻」本当にあったHな話$$$ドラマ「人妻」本当にあったHな話,86
ABC/妄想族$$$FOCUS,86
プレステージ$$$HARDEST,86
いもうとChannel$$$いもうとChannel,86
レズれ！$$$レズれ！ ベスト,85
カチコチTV,85
ボンボンチェリー/妄想族$$$ボンボンチェリー,85
ゴールデンタイム$$$ゴールデンタイム（HHHグループ）,85
ドリームステージ,85
WOW！$$$WOW！,85
マドンナ$$$熟れコミ,84
h.m.p$$$SAMM,84
無言/妄想族$$$無言,84
h.m.p$$$VB,84
あたご屋$$$あたご屋,84
ex$$$お母さん.com,84
ワープエンタテインメント$$$FEARLESS,84
タマネギ/妄想族$$$タマネギ,84
CASANOVA,84
マダムス$$$マダムス,83
コンテンツパートナーズ$$$AISHA,83
本中$$$本中-VR,83
BACK DROP$$$BACK DROP（BACK DROP）,82
プレステージ$$$マジッククオリティ,82
犬/妄想族$$$犬/妄想族,82
素人CLOVER,81
VR総研9課$$$VR総研6課,81
AVS collector’s$$$琢斗,81
First Star$$$幼獄,81
プレステージ$$$Relaxation Room,81
ROOKIE$$$ROOKIE VR,81
ラマ$$$ラマ,81
プレステージ$$$赤まむし,80
カルマ$$$フェチ（カルマ）,80
あんず/妄想族$$$あんず,80
色眼鏡/妄想族$$$色眼鏡,80
アタッカーズ$$$スーパースペシャル,79
親父の個撮$$$神パンスト,79
痴女ヘブン$$$美ッ痴,79
アカデミック$$$Yellow Moon（イエロームーン）,79
ディレクターズ$$$ニャン二ャンハウス,79
田町ナンパ天国$$$軟派舎,79
パーフェクトコミュニケーションズ$$$パーフェクトコミュニケーションズ,79
STAR PARADISE$$$VOLUME,78
信州書店$$$つちのこ映像,78
ジャネス$$$MBCプラチナム,78
SID,77
ディレクターズ$$$女子○生パコパコ,77
ホットエンターテイメント$$$熱遊人,77
センタービレッジ$$$極（センタービレッジ）,77
ルビー$$$MONDO（ルビー）,77
チェリーズ$$$ちぇりーこーく,77
素人ホイホイ/妄想族$$$素人ホイホイ/妄想族,76
リコピン/妄想族$$$リコピン/妄想族,76
グラスワンソフトウェア$$$Grass One software,76
かぐや姫Pt/妄想族$$$ミコン,76
ケー・トライブ$$$ムッチリーナ,76
タカラ映像$$$熟恋,75
プレステージ$$$素人専科,75
スパイスビジュアル$$$TIARAS,75
ルビー$$$黒百合,75
プリモ@VR$$$プリモ@VR,75
ハメドリネットワークSecondEdition$$$やみつき！いちごパンツ,75
Fitch$$$NAMADORE本舗,75
ex$$$BoinBB,75
プレステージ$$$amateur,75
ジャネス$$$BS,74
もっこりテレビ$$$もっこりテレビ,74
スパークビジョン,74
ワープエンタテインメント$$$Waap,74
お夜食カンパニー$$$お夜食カンパニー（HHHグループ）,74
レイディックス$$$抜群 （パラドックス）,74
ドリームチケット$$$VIVID（ドリームチケット）,74
AVS collector’s$$$AVSCollector’s GOLD,74
SODクリエイト$$$ノットリ,74
SOSORU$$$SOSORU,74
美少年出版社$$$女装美少年,73
プレステージ$$$ふぇち党,73
GARDEN$$$オレカノ,73
ハヤブサ$$$EIGHT MAN,73
MARRION$$$夢野,73
プラネットプラス$$$まるっと！,73
人妻花園劇場$$$人妻花園劇場,73
STAR PARADISE$$$EIGHT-H,73
ルビー$$$琥珀,72
プレステージ$$$ABSOLUTELY WONDERFUL,72
Fitch$$$NIKUYOKU,72
センタービレッジ$$$松,72
マーレーインターナショナル$$$マーレーインターナショナル,72
プレステージ$$$ジロジロ,71
MARX$$$egg（マルクス兄弟）,71
クンカ$$$クンカ,71
プレステージ$$$よろず企画,71
プレステージ$$$beginning,71
RASH$$$ビザールハウス,70
シュガーワークス$$$ジューシー,70
FAプロ$$$FA プレミアム,70
オルガ$$$ORGA,70
ヒビノ$$$NTR,70
OFFICE K’S$$$DROP（OFFICE K’S）,70
プールクラブ・エンタテインメント$$$Philia,70
タスクビジュアル$$$タスクビジュアル,69
マドンナ$$$MONROE,69
お持ち帰り$$$お持ち帰り,69
DX/エマニエル$$$DX（エマニエル）,69
ナチュラルハイ$$$ナチュFile,69
新世紀文藝社$$$新世紀文藝社,69
unfinished$$$入魂の一乳,69
ルビー$$$Treasure（ルビー）,69
プレステージ$$$TOY GIRL,68
M男パラダイス$$$MO Gold,68
サムシング$$$サムシング,68
First Star$$$発掘,68
